Stud Qu1 Qu2 Qu3 Qu4 Qu5
2435 028 010 087 050 096
1413 070 062 022 071 048
3472 060 005 086 074 081
4317 022 099 006 018 013
5972 022 007 096 021 078
6702 019 096 001 083 049
7863 001 046 018 001 025
8073 091 001 093 070 028
9401 037 087 037 097 095
1327 043 093 099 071 041
2835 089 037 032 087 057
3326 036 058 068 070 097
4826 068 091 084 097 028
5849 079 049 022 035 057
7860 020 006 046 002 080
2608 061 009 098 005 046
3360 093 088 010 092 086
4124 007 085 068 053 034
5458 057 029 097 044 070
6480 083 004 051 021 033
7803 075 058 005 099 023
8067 042 067 048 066 098
9194 024 070 079 032 051
1428 042 039 021 035 060
2124 051 033 099 004 004
3556 045 072 070 059 093
4728 062 041 040 046 061
5396 096 071 041 046 029
6960 075 011 073 084 096
2275 013 044 005 011 034
3076 023 042 007 012 037
2563 063 091 081 044 007
4587 004 032 064 015 091
5136 042 021 036 018 003
6319 092 031 067 029 009
7226 042 008 042 090 013
8834 001 071 018 044 011
9312 076 091 031 060 004
1398 036 012 028 003 007
2485 014 092 007 098 040
1764 034 051 060 071 039
2856 069 068 095 082 082
